,speaker,dialogue,sentences,sentiment,entities,tokens
0,Iron Man,"Sorry, surfer-dude, but you're headed for a wipe-out.","[{'content': u""Sorry, surfer-dude, but you're headed for a wipe-out."", 'begin': 0, 'score': -0.5, 'magnitude': 0.5}]","{'score': -0.5, 'magnitude': 0.5}","[{'salience': 0.67804366, 'meta': {}, 'type': u'PERSON', 'name': u'surfer-dude', 'mentions': [u'surfer-dude']}, {'salience': 0.32195637, 'meta': {}, 'type': u'EVENT', 'name': u'wipe-out', 'mentions': [u'wipe-out']}]","[{'index': 4, 'begin': 0, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'Sorry', 'lemma': u'Sorry'}, {'index': 4, 'begin': 5, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 4, 'begin': 7, 'pos': u'NOUN', 'label': u'NN', 'content': u'surfer', 'lemma': u'surfer'}, {'index': 4, 'begin': 13, 'pos': u'PUNCT', 'label': u'P', 'content': u'-', 'lemma': u'-'}, {'index': 4, 'begin': 14, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'dude', 'lemma': u'dude'}, {'index': 4, 'begin': 18, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 4, 'begin': 20, 'pos': u'CONJ', 'label': u'CC', 'content': u'but', 'lemma': u'but'}, {'index': 9, 'begin': 24, 'pos': u'PRON', 'label': u'NSUBJPASS', 'content': u'you', 'lemma': u'you'}, {'index': 9, 'begin': 27, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u""'re"", 'lemma': u'be'}, {'index': 4, 'begin': 31, 'pos': u'VERB', 'label': u'CONJ', 'content': u'headed', 'lemma': u'head'}, {'index': 9, 'begin': 38, 'pos': u'ADP', 'label': u'PREP', 'content': u'for', 'lemma': u'for'}, {'index': 14, 'begin': 42, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 14, 'begin': 44, 'pos': u'VERB', 'label': u'NN', 'content': u'wipe', 'lemma': u'wipe'}, {'index': 14, 'begin': 48, 'pos': u'PUNCT', 'label': u'P', 'content': u'-', 'lemma': u'-'}, {'index': 10, 'begin': 49, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'out', 'lemma': u'out'}, {'index': 4, 'begin': 52, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
1,Nick Fury,"Iron Man... I'm reading an incoming ship. Watch out, it's about to open fire!","[{'content': u'Iron Man...', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}, {'content': u""I'm reading an incoming ship."", 'begin': 12, 'score': 0.1, 'magnitude': 0.1}, {'content': u""Watch out, it's about to open fire!"", 'begin': 42, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.4}","[{'salience': 0.626118, 'meta': {u'mid': u'/m/0hnws', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Iron_Man'}, 'type': u'WORK_OF_ART', 'name': u'Iron Man', 'mentions': [u'Iron Man']}, {'salience': 0.2831899, 'meta': {}, 'type': u'OTHER', 'name': u'ship', 'mentions': [u'ship']}, {'salience': 0.09069207, 'meta': {}, 'type': u'EVENT', 'name': u'fire', 'mentions': [u'fire']}]","[{'index': 1, 'begin': 0, 'pos': u'NOUN', 'label': u'NN', 'content': u'Iron', 'lemma': u'Iron'}, {'index': 1, 'begin': 5, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Man', 'lemma': u'Man'}, {'index': 1, 'begin': 8, 'pos': u'PUNCT', 'label': u'P', 'content': u'..', 'lemma': u'..'}, {'index': 1, 'begin': 10, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 6, 'begin': 12, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I'}, {'index': 6, 'begin': 13, 'pos': u'VERB', 'label': u'AUX', 'content': u""'m"", 'lemma': u'be'}, {'index': 6, 'begin': 16, 'pos': u'VERB', 'label': u'ROOT', 'content': u'reading', 'lemma': u'read'}, {'index': 9, 'begin': 24, 'pos': u'DET', 'label': u'DET', 'content': u'an', 'lemma': u'an'}, {'index': 9, 'begin': 27, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'incoming', 'lemma': u'incoming'}, {'index': 6, 'begin': 36, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'ship', 'lemma': u'ship'}, {'index': 6, 'begin': 40, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 11, 'begin': 42, 'pos': u'VERB', 'label': u'ROOT', 'content': u'Watch', 'lemma': u'Watch'}, {'index': 11, 'begin': 48, 'pos': u'PRT', 'label': u'PRT', 'content': u'out', 'lemma': u'out'}, {'index': 11, 'begin': 51, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 15, 'begin': 53, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'it', 'lemma': u'it'}, {'index': 11, 'begin': 55, 'pos': u'VERB', 'label': u'PARATAXIS', 'content': u""'s"", 'lemma': u'be'}, {'index': 15, 'begin': 58, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'about', 'lemma': u'about'}, {'index': 18, 'begin': 64, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 16, 'begin': 67, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'open', 'lemma': u'open'}, {'index': 18, 'begin': 72, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'fire', 'lemma': u'fire'}, {'index': 11, 'begin': 76, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]"
2,Iron Man,Whoh! Whoa! Oohhhh!,"[{'content': u'Whoh!', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}, {'content': u'Whoa!', 'begin': 6, 'score': 0.2, 'magnitude': 0.2}, {'content': u'Oohhhh!', 'begin': 12, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.2, 'magnitude': 0.6}","[{'salience': 0.9357068, 'meta': {}, 'type': u'PERSON', 'name': u'Whoh', 'mentions': [u'Whoh']}, {'salience': 0.06429322, 'meta': {}, 'type': u'OTHER', 'name': u'Oohhhh', 'mentions': [u'Oohhhh']}]","[{'index': 0, 'begin': 0, 'pos': u'X', 'label': u'ROOT', 'content': u'Whoh', 'lemma': u'Whoh'}, {'index': 0, 'begin': 4, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}, {'index': 2, 'begin': 6, 'pos': u'X', 'label': u'ROOT', 'content': u'Whoa', 'lemma': u'Whoa'}, {'index': 2, 'begin': 10, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}, {'index': 4, 'begin': 12, 'pos': u'X', 'label': u'ROOT', 'content': u'Oohhhh', 'lemma': u'Oohhhh'}, {'index': 4, 'begin': 18, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]"
3,Nick Fury,"Tony, are you alright?","[{'content': u'Tony, are you alright?', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}","[{'salience': 1, 'meta': {u'mid': u'/m/05d2fpv'}, 'type': u'OTHER', 'name': u'Tony', 'mentions': [u'Tony']}]","[{'index': 2, 'begin': 0, 'pos': u'NOUN', 'label': u'DEP', 'content': u'Tony', 'lemma': u'Tony'}, {'index': 2, 'begin': 4, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 2, 'begin': 6, 'pos': u'VERB', 'label': u'ROOT', 'content': u'are', 'lemma': u'be'}, {'index': 2, 'begin': 10, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 2, 'begin': 14, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'alright', 'lemma': u'alright'}, {'index': 2, 'begin': 21, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]"
4,Iron Man,"Ow, ow and more ow.","[{'content': u'Ow, ow and more ow.', 'begin': 0, 'score': 0.4, 'magnitude': 0.4}]","{'score': 0.4, 'magnitude': 0.4}","[{'salience': 1, 'meta': {}, 'type': u'OTHER', 'name': u'ow', 'mentions': [u'ow']}]","[{'index': 0, 'begin': 0, 'pos': u'X', 'label': u'ROOT', 'content': u'Ow', 'lemma': u'Ow'}, {'index': 0, 'begin': 2, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 0, 'begin': 4, 'pos': u'X', 'label': u'CONJ', 'content': u'ow', 'lemma': u'ow'}, {'index': 0, 'begin': 7, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 5, 'begin': 11, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'more', 'lemma': u'more'}, {'index': 0, 'begin': 16, 'pos': u'NOUN', 'label': u'CONJ', 'content': u'ow', 'lemma': u'ow'}, {'index': 0, 'begin': 18, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
5,Nick Fury,Hmm. (At Doom's Castle),"[{'content': u'Hmm.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}, {'content': u""(At Doom's Castle)"", 'begin': 5, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.1, 'magnitude': 0.3}","[{'salience': 0.7431659, 'meta': {u'mid': u'/m/0172rj', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Doom_metal'}, 'type': u'OTHER', 'name': u'Doom', 'mentions': [u'Doom']}, {'salience': 0.2568341, 'meta': {u'mid': u'/m/0d5gx', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Castle'}, 'type': u'WORK_OF_ART', 'name': u'Castle', 'mentions': [u'Castle']}]","[{'index': 0, 'begin': 0, 'pos': u'X', 'label': u'ROOT', 'content': u'Hmm', 'lemma': u'Hmm'}, {'index': 0, 'begin': 3, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 3, 'begin': 5, 'pos': u'PUNCT', 'label': u'P', 'content': u'(', 'lemma': u'('}, {'index': 3, 'begin': 6, 'pos': u'ADP', 'label': u'ROOT', 'content': u'At', 'lemma': u'At'}, {'index': 6, 'begin': 9, 'pos': u'NOUN', 'label': u'POSS', 'content': u'Doom', 'lemma': u'Doom'}, {'index': 4, 'begin': 13, 'pos': u'PRT', 'label': u'PS', 'content': u""'s"", 'lemma': u""'s""}, {'index': 3, 'begin': 16, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Castle', 'lemma': u'Castle'}, {'index': 3, 'begin': 22, 'pos': u'PUNCT', 'label': u'P', 'content': u')', 'lemma': u')'}]"
6,Dr. Doom,"With these cosmic bricks, the world will be mine to rule! But first I should probably it from prevent it from being destroyed.","[{'content': u'With these cosmic bricks, the world will be mine to rule!', 'begin': 0, 'score': 0.5, 'magnitude': 0.5}, {'content': u'But first I should probably it from prevent it from being destroyed.', 'begin': 58, 'score': 0.5, 'magnitude': 0.5}]","{'score': 0.5, 'magnitude': 1}","[{'salience': 0.6496246, 'meta': {}, 'type': u'OTHER', 'name': u'bricks', 'mentions': [u'bricks']}, {'salience': 0.3503754, 'meta': {}, 'type': u'LOCATION', 'name': u'world', 'mentions': [u'world']}]","[{'index': 8, 'begin': 0, 'pos': u'ADP', 'label': u'PREP', 'content': u'With', 'lemma': u'With'}, {'index': 3, 'begin': 5, 'pos': u'DET', 'label': u'DET', 'content': u'these', 'lemma': u'these'}, {'index': 3, 'begin': 11, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'cosmic', 'lemma': u'cosmic'}, {'index': 0, 'begin': 18, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'bricks', 'lemma': u'brick'}, {'index': 8, 'begin': 24, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 6, 'begin': 26, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 8, 'begin': 30, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'world', 'lemma': u'world'}, {'index': 8, 'begin': 36, 'pos': u'VERB', 'label': u'AUX', 'content': u'will', 'lemma': u'will'}, {'index': 8, 'begin': 41, 'pos': u'VERB', 'label': u'ROOT', 'content': u'be', 'lemma': u'be'}, {'index': 8, 'begin': 44, 'pos': u'PRON', 'label': u'ATTR', 'content': u'mine', 'lemma': u'mine'}, {'index': 11, 'begin': 49, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 9, 'begin': 52, 'pos': u'VERB', 'label': u'VMOD', 'content': u'rule', 'lemma': u'rule'}, {'index': 8, 'begin': 56, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}, {'index': 20, 'begin': 58, 'pos': u'CONJ', 'label': u'CC', 'content': u'But', 'lemma': u'But'}, {'index': 16, 'begin': 62, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'first', 'lemma': u'first'}, {'index': 16, 'begin': 68, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I'}, {'index': 20, 'begin': 70, 'pos': u'VERB', 'label': u'ADVMOD', 'content': u'should', 'lemma': u'should'}, {'index': 16, 'begin': 77, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'probably', 'lemma': u'probably'}, {'index': 20, 'begin': 86, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'it', 'lemma': u'it'}, {'index': 20, 'begin': 89, 'pos': u'ADP', 'label': u'AUX', 'content': u'from', 'lemma': u'from'}, {'index': 20, 'begin': 94, 'pos': u'VERB', 'label': u'ROOT', 'content': u'prevent', 'lemma': u'prevent'}, {'index': 20, 'begin': 102, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it'}, {'index': 20, 'begin': 105, 'pos': u'ADP', 'label': u'PREP', 'content': u'from', 'lemma': u'from'}, {'index': 24, 'begin': 110, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u'being', 'lemma': u'be'}, {'index': 22, 'begin': 116, 'pos': u'VERB', 'label': u'PCOMP', 'content': u'destroyed', 'lemma': u'destroy'}, {'index': 20, 'begin': 125, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
7,???,This would been much easier had you captured the board intact rather than blasting it to pieces.,"[{'content': u'This would been much easier had you captured the board intact rather than blasting it to pieces.', 'begin': 0, 'score': 0.6, 'magnitude': 0.6}]","{'score': 0.6, 'magnitude': 0.6}","[{'salience': 0.8045686, 'meta': {}, 'type': u'ORGANIZATION', 'name': u'board', 'mentions': [u'board']}, {'salience': 0.19543141, 'meta': {}, 'type': u'OTHER', 'name': u'pieces', 'mentions': [u'pieces']}]","[{'index': 2, 'begin': 0, 'pos': u'DET', 'label': u'NSUBJ', 'content': u'This', 'lemma': u'This'}, {'index': 2, 'begin': 5, 'pos': u'VERB', 'label': u'AUX', 'content': u'would', 'lemma': u'would'}, {'index': 2, 'begin': 11, 'pos': u'VERB', 'label': u'ROOT', 'content': u'been', 'lemma': u'be'}, {'index': 4, 'begin': 16, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'much', 'lemma': u'much'}, {'index': 7, 'begin': 21, 'pos': u'ADJ', 'label': u'ADVMOD', 'content': u'easier', 'lemma': u'easy'}, {'index': 7, 'begin': 28, 'pos': u'VERB', 'label': u'AUX', 'content': u'had', 'lemma': u'have'}, {'index': 7, 'begin': 32, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 2, 'begin': 36, 'pos': u'VERB', 'label': u'DEP', 'content': u'captured', 'lemma': u'capture'}, {'index': 9, 'begin': 45, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 7, 'begin': 49, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'board', 'lemma': u'board'}, {'index': 7, 'begin': 55, 'pos': u'ADJ', 'label': u'DEP', 'content': u'intact', 'lemma': u'intact'}, {'index': 10, 'begin': 62, 'pos': u'ADV', 'label': u'CC', 'content': u'rather', 'lemma': u'rather'}, {'index': 11, 'begin': 69, 'pos': u'ADP', 'label': u'MWE', 'content': u'than', 'lemma': u'than'}, {'index': 10, 'begin': 74, 'pos': u'VERB', 'label': u'CONJ', 'content': u'blasting', 'lemma': u'blast'}, {'index': 13, 'begin': 83, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it'}, {'index': 13, 'begin': 86, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 15, 'begin': 89, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'pieces', 'lemma': u'piece'}, {'index': 2, 'begin': 95, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
8,Dr. Doom,The Avengers showed up. They know how to ruin every good evil plan.,"[{'content': u'The Avengers showed up.', 'begin': 0, 'score': -0.2, 'magnitude': 0.2}, {'content': u'They know how to ruin every good evil plan.', 'begin': 24, 'score': -0.5, 'magnitude': 0.5}]","{'score': -0.3, 'magnitude': 0.7}","[{'salience': 0.9038436, 'meta': {u'mid': u'/m/01twlh', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Avengers_(comics)'}, 'type': u'PERSON', 'name': u'Avengers', 'mentions': [u'Avengers']}, {'salience': 0.09615641, 'meta': {}, 'type': u'OTHER', 'name': u'evil plan', 'mentions': [u'evil plan']}]","[{'index': 1, 'begin': 0, 'pos': u'DET', 'label': u'DET', 'content': u'The', 'lemma': u'The'}, {'index': 2, 'begin': 4, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Avengers', 'lemma': u'Avengers'}, {'index': 2, 'begin': 13, 'pos': u'VERB', 'label': u'ROOT', 'content': u'showed', 'lemma': u'show'}, {'index': 2, 'begin': 20, 'pos': u'PRT', 'label': u'PRT', 'content': u'up', 'lemma': u'up'}, {'index': 2, 'begin': 22, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 6, 'begin': 24, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'They', 'lemma': u'They'}, {'index': 6, 'begin': 29, 'pos': u'VERB', 'label': u'ROOT', 'content': u'know', 'lemma': u'know'}, {'index': 9, 'begin': 34, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'how', 'lemma': u'how'}, {'index': 9, 'begin': 38, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 6, 'begin': 41, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'ruin', 'lemma': u'ruin'}, {'index': 13, 'begin': 46, 'pos': u'DET', 'label': u'DET', 'content': u'every', 'lemma': u'every'}, {'index': 13, 'begin': 52, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'good', 'lemma': u'good'}, {'index': 13, 'begin': 57, 'pos': u'NOUN', 'label': u'NN', 'content': u'evil', 'lemma': u'evil'}, {'index': 9, 'begin': 62, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'plan', 'lemma': u'plan'}, {'index': 6, 'begin': 66, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
9,???,Your plan is... fantastic.,"[{'content': u'Your plan is... fantastic.', 'begin': 0, 'score': 0.7, 'magnitude': 0.7}]","{'score': 0.7, 'magnitude': 0.7}","[{'salience': 1, 'meta': {}, 'type': u'OTHER', 'name': u'plan', 'mentions': [u'plan']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'POSS', 'content': u'Your', 'lemma': u'Your'}, {'index': 2, 'begin': 5, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'plan', 'lemma': u'plan'}, {'index': 2, 'begin': 10, 'pos': u'VERB', 'label': u'ROOT', 'content': u'is', 'lemma': u'be'}, {'index': 2, 'begin': 12, 'pos': u'PUNCT', 'label': u'P', 'content': u'...', 'lemma': u'...'}, {'index': 2, 'begin': 16, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'fantastic', 'lemma': u'fantastic'}, {'index': 2, 'begin': 25, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
