,speaker,dialogue,sentences,sentiment,entities,tokens,num_pron,total_sent,speaker_prev,speaker_next,nearbyChars
0,narrator,"first lines; Sam Wilson is jogging around Washington, D.C. when Steve quickly catches up to him and runs past him","[{'content': u'first lines; Sam Wilson is jogging around Washington, D.C. when Steve quickly catches up to him and runs past him', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}","[{'type': u'PERSON', 'meta': {u'mid': u'/m/04_vd8', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Falcon_(comics)'}, 'salience': 0.64752, 'name': u'Sam Wilson', 'mentions': [u'Sam Wilson']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.25445732, 'name': u'lines', 'mentions': [u'lines']}, {'type': u'LOCATION', 'meta': {u'mid': u'/m/0rh6k', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Washington,_D.C.'}, 'salience': 0.052878402, 'name': u'Washington, D.C.', 'mentions': [u'Washington, D.C.']}, {'type': u'PERSON', 'meta': {u'mid': u'/m/05d8ynq'}, 'salience': 0.045144312, 'name': 'Steve Wilson', 'mentions': [u'Steve']}, {'mentions': [u'him', u'him'], 'type': 'PERSON', 'name': 'Natasha Romanoff'}]","[{'index': 1, 'begin': 0, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'first', 'lemma': u'first'}, {'index': 1, 'begin': 6, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'lines', 'lemma': u'line'}, {'index': 1, 'begin': 11, 'pos': u'PUNCT', 'label': u'P', 'content': u';', 'lemma': u';'}, {'index': 4, 'begin': 13, 'pos': u'NOUN', 'label': u'NN', 'content': u'Sam', 'lemma': u'Sam'}, {'index': 6, 'begin': 17, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Wilson', 'lemma': u'Wilson'}, {'index': 6, 'begin': 24, 'pos': u'VERB', 'label': u'AUX', 'content': u'is', 'lemma': u'be'}, {'index': 1, 'begin': 27, 'pos': u'VERB', 'label': u'PARATAXIS', 'content': u'jogging', 'lemma': u'jog'}, {'index': 6, 'begin': 35, 'pos': u'ADP', 'label': u'PREP', 'content': u'around', 'lemma': u'around'}, {'index': 7, 'begin': 42, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Washington', 'lemma': u'Washington'}, {'index': 8, 'begin': 52, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 8, 'begin': 54, 'pos': u'NOUN', 'label': u'APPOS', 'content': u'D.C.', 'lemma': u'D.C.'}, {'index': 14, 'begin': 59, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'when', 'lemma': u'when'}, {'index': 14, 'begin': 64, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Steve', 'lemma': u'Steve'}, {'index': 14, 'begin': 70, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'quickly', 'lemma': u'quickly'}, {'index': 6, 'begin': 78, 'pos': u'VERB', 'label': u'ADVCL', 'content': u'catches', 'lemma': u'catch'}, {'index': 14, 'begin': 86, 'pos': u'PRT', 'label': u'PRT', 'content': u'up', 'lemma': u'up'}, {'index': 14, 'begin': 89, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 16, 'begin': 92, 'pos': u'PRON', 'label': u'POBJ', 'content': u'him', 'lemma': u'him', 'char': ['Natasha Romanoff']}, {'index': 14, 'begin': 96, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 14, 'begin': 100, 'pos': u'VERB', 'label': u'CONJ', 'content': u'runs', 'lemma': u'run'}, {'index': 19, 'begin': 105, 'pos': u'ADP', 'label': u'PREP', 'content': u'past', 'lemma': u'past'}, {'index': 20, 'begin': 110, 'pos': u'PRON', 'label': u'POBJ', 'content': u'him', 'lemma': u'him', 'char': ['Natasha Romanoff']}]",2,0.0,,Steve Rogers,"['narrator' 'narrator' 'Sam Wilson' 'Steve Rogers' 'Sam Wilson' 'narrator'
 'Sam Wilson' 'Steve Rogers' 'narrator' 'Steve Rogers' 'narrator' nan nan
 nan nan nan nan nan nan nan nan]"
1,Steve Rogers,On your left.,"[{'content': u'On your left.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'type': u'OTHER', 'meta': {}, 'salience': 1, 'name': u'left', 'mentions': [u'left']}, {'mentions': [u'your'], 'type': 'PERSON', 'name': 'narrator'}]","[{'index': 0, 'begin': 0, 'pos': u'ADP', 'label': u'ROOT', 'content': u'On', 'lemma': u'On'}, {'index': 2, 'begin': 3, 'pos': u'PRON', 'label': u'POSS', 'content': u'your', 'lemma': u'your', 'char': ['narrator']}, {'index': 0, 'begin': 8, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'left', 'lemma': u'left'}, {'index': 0, 'begin': 12, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,0.01,narrator,narrator,"['Steve Rogers' 'narrator' 'narrator' 'Sam Wilson' 'Steve Rogers'
 'Sam Wilson' 'narrator' 'Sam Wilson' 'Steve Rogers' 'narrator'
 'Steve Rogers' 'narrator' nan nan nan nan nan nan nan nan nan]"
2,narrator,as Sam is continues to jog Steve comes around again quickly after doing another lap,"[{'content': u'as Sam is continues to jog Steve comes around again quickly after doing another lap', 'begin': 0, 'score': 0.7, 'magnitude': 0.7}]","{'score': 0.7, 'magnitude': 0.7}","[{'type': u'PERSON', 'meta': {u'mid': u'/m/05d8k7t'}, 'salience': 0.6643616, 'name': 'Sam Wilson', 'mentions': [u'Sam']}, {'type': u'PERSON', 'meta': {u'mid': u'/m/05d8ynq'}, 'salience': 0.19399364, 'name': 'Steve Wilson', 'mentions': [u'Steve']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.14164479, 'name': u'lap', 'mentions': [u'lap']}]","[{'index': 2, 'begin': 0, 'pos': u'ADP', 'label': u'MARK', 'content': u'as', 'lemma': u'as'}, {'index': 2, 'begin': 3, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Sam', 'lemma': u'Sam'}, {'index': 7, 'begin': 7, 'pos': u'VERB', 'label': u'ADVCL', 'content': u'is', 'lemma': u'be'}, {'index': 2, 'begin': 10, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'continues', 'lemma': u'continue'}, {'index': 5, 'begin': 20, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 3, 'begin': 23, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'jog', 'lemma': u'jog'}, {'index': 7, 'begin': 27, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Steve', 'lemma': u'Steve'}, {'index': 7, 'begin': 33, 'pos': u'VERB', 'label': u'ROOT', 'content': u'comes', 'lemma': u'come'}, {'index': 7, 'begin': 39, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'around', 'lemma': u'around'}, {'index': 7, 'begin': 46, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'again', 'lemma': u'again'}, {'index': 7, 'begin': 52, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'quickly', 'lemma': u'quickly'}, {'index': 7, 'begin': 60, 'pos': u'ADP', 'label': u'PREP', 'content': u'after', 'lemma': u'after'}, {'index': 11, 'begin': 66, 'pos': u'VERB', 'label': u'PCOMP', 'content': u'doing', 'lemma': u'do'}, {'index': 14, 'begin': 72, 'pos': u'DET', 'label': u'DET', 'content': u'another', 'lemma': u'another'}, {'index': 12, 'begin': 80, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'lap', 'lemma': u'lap'}]",0,0.49,Steve Rogers,Steve Rogers,"['narrator' 'Steve Rogers' 'narrator' 'narrator' 'Sam Wilson'
 'Steve Rogers' 'Sam Wilson' 'narrator' 'Sam Wilson' 'Steve Rogers'
 'narrator' 'Steve Rogers' 'narrator' nan nan nan nan nan nan nan nan]"
3,Steve Rogers,On your left.,"[{'content': u'On your left.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'type': u'OTHER', 'meta': {}, 'salience': 1, 'name': u'left', 'mentions': [u'left']}, {'mentions': [u'your'], 'type': 'PERSON', 'name': 'narrator'}]","[{'index': 0, 'begin': 0, 'pos': u'ADP', 'label': u'ROOT', 'content': u'On', 'lemma': u'On'}, {'index': 2, 'begin': 3, 'pos': u'PRON', 'label': u'POSS', 'content': u'your', 'lemma': u'your', 'char': ['narrator']}, {'index': 0, 'begin': 8, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'left', 'lemma': u'left'}, {'index': 0, 'begin': 12, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,0.01,narrator,Sam Wilson,"['Sam Wilson' 'narrator' 'Steve Rogers' 'narrator' 'narrator' 'Sam Wilson'
 'Steve Rogers' 'Sam Wilson' 'narrator' 'Sam Wilson' 'Steve Rogers'
 'narrator' 'Steve Rogers' 'narrator' nan nan nan nan nan nan nan]"
4,Sam Wilson,"Uh-huh, on my left. Got it.","[{'content': u'Uh-huh, on my left.', 'begin': 0, 'score': -0.5, 'magnitude': 0.5}, {'content': u'Got it.', 'begin': 20, 'score': 0.3, 'magnitude': 0.3}]","{'score': 0, 'magnitude': 0.8}","[{'type': u'OTHER', 'meta': {}, 'salience': 1, 'name': u'left', 'mentions': [u'left']}, {'mentions': [u'my'], 'type': 'PERSON', 'name': 'Sam Wilson'}]","[{'index': 2, 'begin': 0, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'Uh', 'lemma': u'Uh'}, {'index': 2, 'begin': 2, 'pos': u'PUNCT', 'label': u'P', 'content': u'-', 'lemma': u'-'}, {'index': 2, 'begin': 3, 'pos': u'X', 'label': u'ROOT', 'content': u'huh', 'lemma': u'huh'}, {'index': 2, 'begin': 6, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 2, 'begin': 8, 'pos': u'ADP', 'label': u'PREP', 'content': u'on', 'lemma': u'on'}, {'index': 6, 'begin': 11, 'pos': u'PRON', 'label': u'POSS', 'content': u'my', 'lemma': u'my', 'char': ['Sam Wilson']}, {'index': 4, 'begin': 14, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'left', 'lemma': u'left'}, {'index': 2, 'begin': 18, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 8, 'begin': 20, 'pos': u'VERB', 'label': u'ROOT', 'content': u'Got', 'lemma': u'Got'}, {'index': 8, 'begin': 24, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it'}, {'index': 8, 'begin': 26, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,0.0,Steve Rogers,narrator,"['Steve Rogers' 'Sam Wilson' 'narrator' 'Steve Rogers' 'narrator'
 'narrator' 'Sam Wilson' 'Steve Rogers' 'Sam Wilson' 'narrator'
 'Sam Wilson' 'Steve Rogers' 'narrator' 'Steve Rogers' 'narrator' nan nan
 nan nan nan nan]"
5,narrator,as Sam is still jogging Steve comes around again from behind him from another lap,"[{'content': u'as Sam is still jogging Steve comes around again from behind him from another lap', 'begin': 0, 'score': 0.6, 'magnitude': 0.6}]","{'score': 0.6, 'magnitude': 0.6}","[{'type': u'PERSON', 'meta': {u'mid': u'/m/05d8ynq'}, 'salience': 0.48620555, 'name': 'Steve Wilson', 'mentions': [u'Steve']}, {'type': u'PERSON', 'meta': {u'mid': u'/m/05d8k7t'}, 'salience': 0.42308825, 'name': 'Sam Wilson', 'mentions': [u'Sam']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.0907062, 'name': u'lap', 'mentions': [u'lap']}, {'mentions': [u'him'], 'type': 'PERSON', 'name': 'Alexander Pierce'}]","[{'index': 4, 'begin': 0, 'pos': u'ADP', 'label': u'MARK', 'content': u'as', 'lemma': u'as'}, {'index': 4, 'begin': 3, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Sam', 'lemma': u'Sam'}, {'index': 4, 'begin': 7, 'pos': u'VERB', 'label': u'AUX', 'content': u'is', 'lemma': u'be'}, {'index': 4, 'begin': 10, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'still', 'lemma': u'still'}, {'index': 6, 'begin': 16, 'pos': u'VERB', 'label': u'CSUBJ', 'content': u'jogging', 'lemma': u'jog'}, {'index': 4, 'begin': 24, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'Steve', 'lemma': u'Steve'}, {'index': 6, 'begin': 30, 'pos': u'VERB', 'label': u'ROOT', 'content': u'comes', 'lemma': u'come'}, {'index': 8, 'begin': 36, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'around', 'lemma': u'around'}, {'index': 6, 'begin': 43, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'again', 'lemma': u'again'}, {'index': 6, 'begin': 49, 'pos': u'ADP', 'label': u'PREP', 'content': u'from', 'lemma': u'from'}, {'index': 9, 'begin': 54, 'pos': u'ADP', 'label': u'PCOMP', 'content': u'behind', 'lemma': u'behind'}, {'index': 10, 'begin': 61, 'pos': u'PRON', 'label': u'POBJ', 'content': u'him', 'lemma': u'him', 'char': ['Alexander Pierce']}, {'index': 6, 'begin': 65, 'pos': u'ADP', 'label': u'PREP', 'content': u'from', 'lemma': u'from'}, {'index': 14, 'begin': 70, 'pos': u'DET', 'label': u'DET', 'content': u'another', 'lemma': u'another'}, {'index': 12, 'begin': 78, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'lap', 'lemma': u'lap'}]",1,0.36,Sam Wilson,Sam Wilson,"['Sam Wilson' 'Steve Rogers' 'Sam Wilson' 'narrator' 'Steve Rogers'
 'narrator' 'narrator' 'Sam Wilson' 'Steve Rogers' 'Sam Wilson' 'narrator'
 'Sam Wilson' 'Steve Rogers' 'narrator' 'Steve Rogers' 'narrator' nan nan
 nan nan nan]"
6,Sam Wilson,Don't say it! Don't you say it!,"[{'content': u""Don't say it!"", 'begin': 0, 'score': -0.1, 'magnitude': 0.1}, {'content': u""Don't you say it!"", 'begin': 14, 'score': 0, 'magnitude': 0}]","{'score': -0.1, 'magnitude': 0.2}","[{'mentions': [u'you'], 'type': 'PERSON', 'name': 'Steve Rogers'}]","[{'index': 2, 'begin': 0, 'pos': u'VERB', 'label': u'AUX', 'content': u'Do', 'lemma': u'Do'}, {'index': 2, 'begin': 2, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 2, 'begin': 6, 'pos': u'VERB', 'label': u'ROOT', 'content': u'say', 'lemma': u'say'}, {'index': 2, 'begin': 10, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it'}, {'index': 2, 'begin': 12, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}, {'index': 8, 'begin': 14, 'pos': u'VERB', 'label': u'AUX', 'content': u'Do', 'lemma': u'Do'}, {'index': 8, 'begin': 16, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 8, 'begin': 20, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': ['Steve Rogers']}, {'index': 8, 'begin': 24, 'pos': u'VERB', 'label': u'ROOT', 'content': u'say', 'lemma': u'say'}, {'index': 8, 'begin': 28, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it'}, {'index': 8, 'begin': 30, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]",1,-0.02,narrator,Steve Rogers,"['narrator' 'Sam Wilson' 'Steve Rogers' 'Sam Wilson' 'narrator'
 'Steve Rogers' 'narrator' 'narrator' 'Sam Wilson' 'Steve Rogers'
 'Sam Wilson' 'narrator' 'Sam Wilson' 'Steve Rogers' 'narrator'
 'Steve Rogers' 'narrator' nan nan nan nan]"
7,Steve Rogers,On your left!,"[{'content': u'On your left!', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'type': u'OTHER', 'meta': {}, 'salience': 1, 'name': u'left', 'mentions': [u'left']}, {'mentions': [u'your'], 'type': 'PERSON', 'name': 'Sam Wilson'}]","[{'index': 0, 'begin': 0, 'pos': u'ADP', 'label': u'ROOT', 'content': u'On', 'lemma': u'On'}, {'index': 2, 'begin': 3, 'pos': u'PRON', 'label': u'POSS', 'content': u'your', 'lemma': u'your', 'char': ['Sam Wilson']}, {'index': 0, 'begin': 8, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'left', 'lemma': u'left'}, {'index': 0, 'begin': 12, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]",1,0.01,Sam Wilson,Sam Wilson,"['Sam Wilson' 'narrator' 'Sam Wilson' 'Steve Rogers' 'Sam Wilson'
 'narrator' 'Steve Rogers' 'narrator' 'narrator' 'Sam Wilson'
 'Steve Rogers' 'Sam Wilson' 'narrator' 'Sam Wilson' 'Steve Rogers'
 'narrator' 'Steve Rogers' 'narrator' nan nan nan]"
8,Sam Wilson,Come on!,"[{'content': u'Come on!', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}",[],"[{'index': 0, 'begin': 0, 'pos': u'VERB', 'label': u'ROOT', 'content': u'Come', 'lemma': u'Come'}, {'index': 0, 'begin': 5, 'pos': u'PRT', 'label': u'PRT', 'content': u'on', 'lemma': u'on'}, {'index': 0, 'begin': 7, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]",0,0.04,Steve Rogers,narrator,"['Steve Rogers' 'Sam Wilson' 'narrator' 'Sam Wilson' 'Steve Rogers'
 'Sam Wilson' 'narrator' 'Steve Rogers' 'narrator' 'narrator' 'Sam Wilson'
 'Steve Rogers' 'Sam Wilson' 'narrator' 'Sam Wilson' 'Steve Rogers'
 'narrator' 'Steve Rogers' 'narrator' nan nan]"
9,narrator,Sam gets angry and tries to catch up to him but only after a few seconds he's unable to carry and stops to rest,"[{'content': u""Sam gets angry and tries to catch up to him but only after a few seconds he's unable to carry and stops to rest"", 'begin': 0, 'score': -0.5, 'magnitude': 0.5}]","{'score': -0.5, 'magnitude': 0.5}","[{'type': u'PERSON', 'meta': {u'mid': u'/m/05d8k7t'}, 'salience': 1, 'name': 'Sam Wilson', 'mentions': [u'Sam']}, {'mentions': [u'him', u'he'], 'type': 'PERSON', 'name': 'Steve Rogers'}]","[{'index': 1, 'begin': 0, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Sam', 'lemma': u'Sam'}, {'index': 1, 'begin': 4, 'pos': u'VERB', 'label': u'ROOT', 'content': u'gets', 'lemma': u'get'}, {'index': 1, 'begin': 9, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'angry', 'lemma': u'angry'}, {'index': 1, 'begin': 15, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 1, 'begin': 19, 'pos': u'VERB', 'label': u'CONJ', 'content': u'tries', 'lemma': u'try'}, {'index': 6, 'begin': 25, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 4, 'begin': 28, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'catch', 'lemma': u'catch'}, {'index': 6, 'begin': 34, 'pos': u'PRT', 'label': u'PRT', 'content': u'up', 'lemma': u'up'}, {'index': 6, 'begin': 37, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 8, 'begin': 40, 'pos': u'PRON', 'label': u'POBJ', 'content': u'him', 'lemma': u'him', 'char': ['Steve Rogers']}, {'index': 1, 'begin': 44, 'pos': u'CONJ', 'label': u'CC', 'content': u'but', 'lemma': u'but'}, {'index': 12, 'begin': 48, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'only', 'lemma': u'only'}, {'index': 17, 'begin': 53, 'pos': u'ADP', 'label': u'PREP', 'content': u'after', 'lemma': u'after'}, {'index': 14, 'begin': 59, 'pos': u'DET', 'label': u'QUANTMOD', 'content': u'a', 'lemma': u'a'}, {'index': 15, 'begin': 61, 'pos': u'ADJ', 'label': u'NUM', 'content': u'few', 'lemma': u'few'}, {'index': 12, 'begin': 65, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'seconds', 'lemma': u'seconds'}, {'index': 17, 'begin': 73, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'he', 'lemma': u'he', 'char': ['Steve Rogers']}, {'index': 1, 'begin': 75, 'pos': u'VERB', 'label': u'CONJ', 'content': u""'s"", 'lemma': u'be'}, {'index': 17, 'begin': 78, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'unable', 'lemma': u'unable'}, {'index': 20, 'begin': 85, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 18, 'begin': 88, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'carry', 'lemma': u'carry'}, {'index': 17, 'begin': 94, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 17, 'begin': 98, 'pos': u'VERB', 'label': u'CONJ', 'content': u'stops', 'lemma': u'stop'}, {'index': 24, 'begin': 104, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 22, 'begin': 107, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'rest', 'lemma': u'rest'}]",2,-0.25,Sam Wilson,narrator,"['Sam Wilson' 'Steve Rogers' 'Sam Wilson' 'narrator' 'Sam Wilson'
 'Steve Rogers' 'Sam Wilson' 'narrator' 'Steve Rogers' 'narrator'
 'narrator' 'Sam Wilson' 'Steve Rogers' 'Sam Wilson' 'narrator'
 'Sam Wilson' 'Steve Rogers' 'narrator' 'Steve Rogers' 'narrator' nan]"
