,speaker,dialogue,sentences,sentiment,entities,tokens,num_pron,total_sent,speaker_prev,speaker_next,nearbyChars
0,Odin,"[voice over] Long before the birth of light there was darkness, and from that darkness, came the Dark Elves. Millennia ago, the most ruthless of their kind, Malekith, sought to transform our universe back into one of eternal night.","[{'content': u'[voice over] Long before the birth of light there was darkness, and from that darkness, came the Dark Elves.', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}, {'content': u'Millennia ago, the most ruthless of their kind, Malekith, sought to transform our universe back into one of eternal night.', 'begin': 109, 'score': 0.3, 'magnitude': 0.3}]","{'score': 0.2, 'magnitude': 0.5}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.2909011, 'name': u'voice', 'mentions': [u'voice']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.20225094, 'name': u'darkness', 'mentions': [u'darkness']}, {'type': u'EVENT', 'meta': {}, 'salience': 0.128052, 'name': u'birth', 'mentions': [u'birth']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.128052, 'name': u'light', 'mentions': [u'light']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.1112827, 'name': u'darkness', 'mentions': [u'darkness']}, {'type': u'OTHER', 'meta': {u'mid': u'/m/0gj9rsj', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Elves_(Marvel_Comics)'}, 'salience': 0.06352244, 'name': u'Dark Elves', 'mentions': [u'Dark Elves']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.029047854, 'name': u'universe', 'mentions': [u'universe']}, {'type': u'LOCATION', 'meta': {}, 'salience': 0.021216696, 'name': u'one', 'mentions': [u'one']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.01587968, 'name': u'kind', 'mentions': [u'kind']}, {'type': u'PERSON', 'meta': {u'mid': u'/m/0drv94', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Malekith_the_Accursed'}, 'salience': 0.00979461, 'name': u'Malekith', 'mentions': [u'Malekith', u'our']}, {'mentions': [u'our'], 'type': 'PERSON', 'name': 'Kurse'}, {'mentions': [u'our'], 'type': 'PERSON', 'name': 'Odin'}]","[{'index': 1, 'begin': 0, 'pos': u'PUNCT', 'label': u'P', 'content': u'[', 'lemma': u'['}, {'index': 11, 'begin': 1, 'pos': u'NOUN', 'label': u'DEP', 'content': u'voice', 'lemma': u'voice'}, {'index': 1, 'begin': 7, 'pos': u'ADP', 'label': u'ADVMOD', 'content': u'over', 'lemma': u'over'}, {'index': 1, 'begin': 11, 'pos': u'PUNCT', 'label': u'P', 'content': u']', 'lemma': u']'}, {'index': 5, 'begin': 13, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'Long', 'lemma': u'Long'}, {'index': 11, 'begin': 18, 'pos': u'ADP', 'label': u'PREP', 'content': u'before', 'lemma': u'before'}, {'index': 7, 'begin': 25, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 5, 'begin': 29, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'birth', 'lemma': u'birth'}, {'index': 7, 'begin': 35, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 8, 'begin': 38, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'light', 'lemma': u'light'}, {'index': 11, 'begin': 44, 'pos': u'DET', 'label': u'EXPL', 'content': u'there', 'lemma': u'there'}, {'index': 11, 'begin': 50, 'pos': u'VERB', 'label': u'ROOT', 'content': u'was', 'lemma': u'be'}, {'index': 11, 'begin': 54, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'darkness', 'lemma': u'darkness'}, {'index': 11, 'begin': 62, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 11, 'begin': 64, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 19, 'begin': 68, 'pos': u'ADP', 'label': u'PREP', 'content': u'from', 'lemma': u'from'}, {'index': 17, 'begin': 73, 'pos': u'DET', 'label': u'DET', 'content': u'that', 'lemma': u'that'}, {'index': 15, 'begin': 78, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'darkness', 'lemma': u'darkness'}, {'index': 19, 'begin': 86, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 11, 'begin': 88, 'pos': u'VERB', 'label': u'CONJ', 'content': u'came', 'lemma': u'come'}, {'index': 22, 'begin': 93, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 22, 'begin': 97, 'pos': u'NOUN', 'label': u'NN', 'content': u'Dark', 'lemma': u'Dark'}, {'index': 19, 'begin': 102, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Elves', 'lemma': u'Elves'}, {'index': 11, 'begin': 107, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 25, 'begin': 109, 'pos': u'NOUN', 'label': u'NPADVMOD', 'content': u'Millennia', 'lemma': u'Millennia'}, {'index': 36, 'begin': 119, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'ago', 'lemma': u'ago'}, {'index': 36, 'begin': 122, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 29, 'begin': 124, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 29, 'begin': 128, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'most', 'lemma': u'most'}, {'index': 36, 'begin': 133, 'pos': u'ADJ', 'label': u'NSUBJ', 'content': u'ruthless', 'lemma': u'ruthless'}, {'index': 29, 'begin': 142, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 32, 'begin': 145, 'pos': u'PRON', 'label': u'POSS', 'content': u'their', 'lemma': u'their'}, {'index': 30, 'begin': 151, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'kind', 'lemma': u'kind'}, {'index': 29, 'begin': 155, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 29, 'begin': 157, 'pos': u'NOUN', 'label': u'APPOS', 'content': u'Malekith', 'lemma': u'Malekith'}, {'index': 29, 'begin': 165, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 36, 'begin': 167, 'pos': u'VERB', 'label': u'ROOT', 'content': u'sought', 'lemma': u'seek'}, {'index': 38, 'begin': 174, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 36, 'begin': 177, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'transform', 'lemma': u'transform'}, {'index': 40, 'begin': 187, 'pos': u'PRON', 'label': u'POSS', 'content': u'our', 'lemma': u'our', 'char': ['Odin', 'Kurse', 'Malekith']}, {'index': 38, 'begin': 191, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'universe', 'lemma': u'universe'}, {'index': 38, 'begin': 200, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'back', 'lemma': u'back'}, {'index': 41, 'begin': 205, 'pos': u'ADP', 'label': u'PREP', 'content': u'into', 'lemma': u'into'}, {'index': 42, 'begin': 210, 'pos': u'NUM', 'label': u'POBJ', 'content': u'one', 'lemma': u'one'}, {'index': 43, 'begin': 214, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 46, 'begin': 217, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'eternal', 'lemma': u'eternal'}, {'index': 44, 'begin': 225, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'night', 'lemma': u'night'}, {'index': 36, 'begin': 230, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,0.1,,narrator,"['narrator' 'Malekith' 'narrator' 'Kurse' 'narrator' 'narrator' 'Odin'
 'narrator' 'Odin' 'narrator' 'Odin' nan nan nan nan nan nan nan nan nan
 nan]"
1,narrator,Malekith is looking up at the Convergence,"[{'content': u'Malekith is looking up at the Convergence', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'type': u'PERSON', 'meta': {u'mid': u'/m/0drv94', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Malekith_the_Accursed'}, 'salience': 0.73254174, 'name': u'Malekith', 'mentions': [u'Malekith']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.2674583, 'name': u'Convergence', 'mentions': [u'Convergence']}]","[{'index': 2, 'begin': 0, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Malekith', 'lemma': u'Malekith'}, {'index': 2, 'begin': 9, 'pos': u'VERB', 'label': u'AUX', 'content': u'is', 'lemma': u'be'}, {'index': 2, 'begin': 12, 'pos': u'VERB', 'label': u'ROOT', 'content': u'looking', 'lemma': u'look'}, {'index': 2, 'begin': 20, 'pos': u'PRT', 'label': u'PRT', 'content': u'up', 'lemma': u'up'}, {'index': 2, 'begin': 23, 'pos': u'ADP', 'label': u'PREP', 'content': u'at', 'lemma': u'at'}, {'index': 6, 'begin': 26, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 4, 'begin': 30, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Convergence', 'lemma': u'Convergence'}]",0,0.01,Odin,Odin,"['narrator' 'narrator' 'Malekith' 'narrator' 'Kurse' 'narrator' 'narrator'
 'Odin' 'narrator' 'Odin' 'narrator' 'Odin' nan nan nan nan nan nan nan nan
 nan]"
2,Odin,"Such evil was possible through the power of the Aether, an ancient force of infinite destruction.","[{'content': u'Such evil was possible through the power of the Aether, an ancient force of infinite destruction.', 'begin': 0, 'score': -0.2, 'magnitude': 0.2}]","{'score': -0.2, 'magnitude': 0.2}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.55127877, 'name': u'evil', 'mentions': [u'evil']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.17906731, 'name': u'power', 'mentions': [u'power']}, {'type': u'PERSON', 'meta': {u'mid': u'/m/0688h7', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Aether_(mythology)'}, 'salience': 0.11798846, 'name': u'Aether', 'mentions': [u'Aether']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.086441405, 'name': u'destruction', 'mentions': [u'destruction']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.06522407, 'name': u'force', 'mentions': [u'force']}]","[{'index': 1, 'begin': 0, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'Such', 'lemma': u'Such'}, {'index': 2, 'begin': 5, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'evil', 'lemma': u'evil'}, {'index': 2, 'begin': 10, 'pos': u'VERB', 'label': u'ROOT', 'content': u'was', 'lemma': u'be'}, {'index': 2, 'begin': 14, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'possible', 'lemma': u'possible'}, {'index': 2, 'begin': 23, 'pos': u'ADP', 'label': u'PREP', 'content': u'through', 'lemma': u'through'}, {'index': 6, 'begin': 31, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 4, 'begin': 35, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'power', 'lemma': u'power'}, {'index': 6, 'begin': 41, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 9, 'begin': 44, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 7, 'begin': 48, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Aether', 'lemma': u'Aether'}, {'index': 9, 'begin': 54, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 13, 'begin': 56, 'pos': u'DET', 'label': u'DET', 'content': u'an', 'lemma': u'an'}, {'index': 13, 'begin': 59, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'ancient', 'lemma': u'ancient'}, {'index': 9, 'begin': 67, 'pos': u'NOUN', 'label': u'APPOS', 'content': u'force', 'lemma': u'force'}, {'index': 13, 'begin': 73, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 16, 'begin': 76, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'infinite', 'lemma': u'infinite'}, {'index': 14, 'begin': 85, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'destruction', 'lemma': u'destruction'}, {'index': 2, 'begin': 96, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,-0.04,narrator,narrator,"['Odin' 'narrator' 'narrator' 'Malekith' 'narrator' 'Kurse' 'narrator'
 'narrator' 'Odin' 'narrator' 'Odin' 'narrator' 'Odin' nan nan nan nan nan
 nan nan nan]"
3,narrator,the Aether is shown,"[{'content': u'the Aether is shown', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}","[{'type': u'PERSON', 'meta': {}, 'salience': 1, 'name': u'Aether', 'mentions': [u'Aether']}]","[{'index': 1, 'begin': 0, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 3, 'begin': 4, 'pos': u'NOUN', 'label': u'NSUBJPASS', 'content': u'Aether', 'lemma': u'Aether'}, {'index': 3, 'begin': 11, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u'is', 'lemma': u'be'}, {'index': 3, 'begin': 14, 'pos': u'VERB', 'label': u'ROOT', 'content': u'shown', 'lemma': u'show'}]",0,0.0,Odin,Odin,"['narrator' 'Odin' 'narrator' 'narrator' 'Malekith' 'narrator' 'Kurse'
 'narrator' 'narrator' 'Odin' 'narrator' 'Odin' 'narrator' 'Odin' nan nan
 nan nan nan nan nan]"
4,Odin,"The noble armies of Asgard, led by my father, King Bor, waged a mighty war against these creatures.","[{'content': u'The noble armies of Asgard, led by my father, King Bor, waged a mighty war against these creatures.', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}","[{'type': u'ORGANIZATION', 'meta': {}, 'salience': 0.40465137, 'name': u'armies', 'mentions': [u'armies']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.13282698, 'name': u'father', 'mentions': [u'father']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.13282698, 'name': u'King', 'mentions': [u'King']}, {'type': u'LOCATION', 'meta': {u'mid': u'/m/0q3c', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Asgard'}, 'salience': 0.11740163, 'name': u'Asgard', 'mentions': [u'Asgard']}, {'type': u'EVENT', 'meta': {}, 'salience': 0.08279309, 'name': u'war', 'mentions': [u'war']}, {'type': u'ORGANIZATION', 'meta': {u'mid': u'/m/0339q3', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Borr'}, 'salience': 0.06863245, 'name': u'Bor', 'mentions': [u'Bor']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.060867485, 'name': u'creatures', 'mentions': [u'creatures']}, {'mentions': [u'my'], 'type': 'PERSON', 'name': 'Odin'}]","[{'index': 2, 'begin': 0, 'pos': u'DET', 'label': u'DET', 'content': u'The', 'lemma': u'The'}, {'index': 2, 'begin': 4, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'noble', 'lemma': u'noble'}, {'index': 14, 'begin': 10, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'armies', 'lemma': u'army'}, {'index': 2, 'begin': 17, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 3, 'begin': 20, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Asgard', 'lemma': u'Asgard'}, {'index': 2, 'begin': 26, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 2, 'begin': 28, 'pos': u'VERB', 'label': u'VMOD', 'content': u'led', 'lemma': u'lead'}, {'index': 6, 'begin': 32, 'pos': u'ADP', 'label': u'PREP', 'content': u'by', 'lemma': u'by'}, {'index': 9, 'begin': 35, 'pos': u'PRON', 'label': u'POSS', 'content': u'my', 'lemma': u'my', 'char': ['Odin']}, {'index': 7, 'begin': 38, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'father', 'lemma': u'father'}, {'index': 9, 'begin': 44, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 12, 'begin': 46, 'pos': u'NOUN', 'label': u'NN', 'content': u'King', 'lemma': u'King'}, {'index': 9, 'begin': 51, 'pos': u'NOUN', 'label': u'APPOS', 'content': u'Bor', 'lemma': u'Bor'}, {'index': 2, 'begin': 54, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 14, 'begin': 56, 'pos': u'VERB', 'label': u'ROOT', 'content': u'waged', 'lemma': u'wage'}, {'index': 17, 'begin': 62, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 17, 'begin': 64, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'mighty', 'lemma': u'mighty'}, {'index': 14, 'begin': 71, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'war', 'lemma': u'war'}, {'index': 17, 'begin': 75, 'pos': u'ADP', 'label': u'PREP', 'content': u'against', 'lemma': u'against'}, {'index': 20, 'begin': 83, 'pos': u'DET', 'label': u'DET', 'content': u'these', 'lemma': u'these'}, {'index': 18, 'begin': 89, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'creatures', 'lemma': u'creature'}, {'index': 14, 'begin': 98, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,0.04,narrator,narrator,"['narrator' 'narrator' 'Odin' 'narrator' 'narrator' 'Malekith' 'narrator'
 'Kurse' 'narrator' 'narrator' 'Odin' 'narrator' 'Odin' 'narrator' 'Odin'
 nan nan nan nan nan nan]"
5,narrator,the Dark Elves and Asgardians are shown fighting,"[{'content': u'the Dark Elves and Asgardians are shown fighting', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}","[{'type': u'OTHER', 'meta': {u'mid': u'/m/0gj9rsj', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Elves_(Marvel_Comics)'}, 'salience': 0.57653606, 'name': u'Dark Elves', 'mentions': [u'Dark Elves']}, {'type': u'PERSON', 'meta': {u'mid': u'/m/038z96', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Asgard_(comics)'}, 'salience': 0.42346394, 'name': u'Asgardians', 'mentions': [u'Asgardians']}]","[{'index': 2, 'begin': 0, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 2, 'begin': 4, 'pos': u'NOUN', 'label': u'NN', 'content': u'Dark', 'lemma': u'Dark'}, {'index': 6, 'begin': 9, 'pos': u'NOUN', 'label': u'NSUBJPASS', 'content': u'Elves', 'lemma': u'Elves'}, {'index': 2, 'begin': 15, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 2, 'begin': 19, 'pos': u'NOUN', 'label': u'CONJ', 'content': u'Asgardians', 'lemma': u'Asgardians'}, {'index': 6, 'begin': 30, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u'are', 'lemma': u'be'}, {'index': 6, 'begin': 34, 'pos': u'VERB', 'label': u'ROOT', 'content': u'shown', 'lemma': u'show'}, {'index': 6, 'begin': 40, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'fighting', 'lemma': u'fight'}]",0,0.0,Odin,narrator,"['narrator' 'narrator' 'narrator' 'Odin' 'narrator' 'narrator' 'Malekith'
 'narrator' 'Kurse' 'narrator' 'narrator' 'Odin' 'narrator' 'Odin'
 'narrator' 'Odin' nan nan nan nan nan]"
6,narrator,Kurse walks up to Malekith,"[{'content': u'Kurse walks up to Malekith', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}","[{'type': u'PERSON', 'meta': {u'mid': u'/m/0bgc7n', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Kurse'}, 'salience': 0.8203827, 'name': u'Kurse', 'mentions': [u'Kurse']}, {'type': u'OTHER', 'meta': {u'mid': u'/m/0drv94', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Malekith_the_Accursed'}, 'salience': 0.17961729, 'name': u'Malekith', 'mentions': [u'Malekith']}]","[{'index': 1, 'begin': 0, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Kurse', 'lemma': u'Kurse'}, {'index': 1, 'begin': 6, 'pos': u'VERB', 'label': u'ROOT', 'content': u'walks', 'lemma': u'walk'}, {'index': 1, 'begin': 12, 'pos': u'ADP', 'label': u'PRT', 'content': u'up', 'lemma': u'up'}, {'index': 1, 'begin': 15, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 3, 'begin': 18, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Malekith', 'lemma': u'Malekith'}]",0,0.0,narrator,Kurse,"['Odin' 'narrator' 'narrator' 'narrator' 'Odin' 'narrator' 'narrator'
 'Malekith' 'narrator' 'Kurse' 'narrator' 'narrator' 'Odin' 'narrator'
 'Odin' 'narrator' 'Odin' nan nan nan nan]"
7,Kurse,Malekith! Asgardian forces are upon us.,"[{'content': u'Malekith!', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}, {'content': u'Asgardian forces are upon us.', 'begin': 10, 'score': -0.2, 'magnitude': 0.2}]","{'score': 0, 'magnitude': 0.3}","[{'type': u'OTHER', 'meta': {u'mid': u'/m/0drv94', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Malekith_the_Accursed'}, 'salience': 0.6577515, 'name': u'Malekith', 'mentions': [u'Malekith', u'us']}, {'type': u'ORGANIZATION', 'meta': {}, 'salience': 0.17860766, 'name': u'forces', 'mentions': [u'forces']}, {'type': u'OTHER', 'meta': {u'mid': u'/m/038z96', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Asgard_(comics)'}, 'salience': 0.16364083, 'name': u'Asgardian', 'mentions': [u'Asgardian']}, {'mentions': [u'us'], 'type': 'PERSON', 'name': 'Kurse'}, {'mentions': [u'us'], 'type': 'PERSON', 'name': 'Odin'}]","[{'index': 0, 'begin': 0, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Malekith', 'lemma': u'Malekith'}, {'index': 0, 'begin': 8, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}, {'index': 3, 'begin': 10, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'Asgardian', 'lemma': u'Asgardian'}, {'index': 4, 'begin': 20, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'forces', 'lemma': u'force'}, {'index': 4, 'begin': 27, 'pos': u'VERB', 'label': u'ROOT', 'content': u'are', 'lemma': u'be'}, {'index': 4, 'begin': 31, 'pos': u'ADP', 'label': u'PREP', 'content': u'upon', 'lemma': u'upon'}, {'index': 5, 'begin': 36, 'pos': u'PRON', 'label': u'POBJ', 'content': u'us', 'lemma': u'us', 'char': ['Kurse', 'Odin', 'Malekith']}, {'index': 4, 'begin': 38, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,0.0,narrator,narrator,"['narrator' 'Odin' 'narrator' 'narrator' 'narrator' 'Odin' 'narrator'
 'narrator' 'Malekith' 'narrator' 'Kurse' 'narrator' 'narrator' 'Odin'
 'narrator' 'Odin' 'narrator' 'Odin' nan nan nan]"
8,narrator,"the Bifrost opens, and bor steps out with Asgardian reinforcements","[{'content': u'the Bifrost opens, and bor steps out with Asgardian reinforcements', 'begin': 0, 'score': -0.4, 'magnitude': 0.4}]","{'score': -0.4, 'magnitude': 0.4}","[{'type': u'LOCATION', 'meta': {u'mid': u'/m/019xx', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Bifr%C3%B6st'}, 'salience': 0.6305909, 'name': u'Bifrost', 'mentions': [u'Bifrost']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.18036748, 'name': u'steps', 'mentions': [u'steps']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.10210416, 'name': u'reinforcements', 'mentions': [u'reinforcements']}, {'type': u'OTHER', 'meta': {u'mid': u'/m/038z96', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Asgard_(comics)'}, 'salience': 0.08693745, 'name': u'Asgardian', 'mentions': [u'Asgardian']}]","[{'index': 1, 'begin': 0, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 2, 'begin': 4, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Bifrost', 'lemma': u'Bifrost'}, {'index': 2, 'begin': 12, 'pos': u'VERB', 'label': u'ROOT', 'content': u'opens', 'lemma': u'open'}, {'index': 2, 'begin': 17, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 2, 'begin': 19, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 6, 'begin': 23, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'bor', 'lemma': u'bor'}, {'index': 2, 'begin': 27, 'pos': u'NOUN', 'label': u'CONJ', 'content': u'steps', 'lemma': u'step'}, {'index': 6, 'begin': 33, 'pos': u'PRT', 'label': u'PRT', 'content': u'out', 'lemma': u'out'}, {'index': 6, 'begin': 37, 'pos': u'ADP', 'label': u'PREP', 'content': u'with', 'lemma': u'with'}, {'index': 10, 'begin': 42, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'Asgardian', 'lemma': u'Asgardian'}, {'index': 8, 'begin': 52, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'reinforcements', 'lemma': u'reinforcements'}]",0,-0.16,Kurse,Malekith,"['Malekith' 'narrator' 'Odin' 'narrator' 'narrator' 'narrator' 'Odin'
 'narrator' 'narrator' 'Malekith' 'narrator' 'Kurse' 'narrator' 'narrator'
 'Odin' 'narrator' 'Odin' 'narrator' 'Odin' nan nan]"
9,Malekith,Send the Kursed.,"[{'content': u'Send the Kursed.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'type': u'PERSON', 'meta': {}, 'salience': 1, 'name': u'Kursed', 'mentions': [u'Kursed']}]","[{'index': 0, 'begin': 0, 'pos': u'VERB', 'label': u'ROOT', 'content': u'Send', 'lemma': u'Send'}, {'index': 2, 'begin': 5, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 0, 'begin': 9, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'Kursed', 'lemma': u'Kursed'}, {'index': 0, 'begin': 15, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.01,narrator,narrator,"['narrator' 'Malekith' 'narrator' 'Odin' 'narrator' 'narrator' 'narrator'
 'Odin' 'narrator' 'narrator' 'Malekith' 'narrator' 'Kurse' 'narrator'
 'narrator' 'Odin' 'narrator' 'Odin' 'narrator' 'Odin' nan]"
