,speaker,dialogue,sentences,sentiment,entities,tokens,num_pron,total_sent,speaker_prev,speaker_next,nearbyChars
0,Eric,I still don't know why I'm here. Couldn't you just make them say yes?,"[{'content': u""I still don't know why I'm here."", 'begin': 0, 'score': -0.1, 'magnitude': 0.1}, {'content': u""Couldn't you just make them say yes?"", 'begin': 33, 'score': -0.3, 'magnitude': 0.3}]","{'score': -0.2, 'magnitude': 0.4}","[{'mentions': [u'I', u'I'], 'type': 'PERSON', 'name': 'Eric'}, {'mentions': [u'you'], 'type': 'PERSON', 'name': 'nan'}, {'mentions': [u'them'], 'type': 'PERSON', 'name': 'Charles'}, {'mentions': [u'them'], 'type': 'PERSON', 'name': 'Mrs. Grey'}]","[{'index': 4, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Eric']}, {'index': 4, 'begin': 2, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'still', 'lemma': u'still'}, {'index': 4, 'begin': 8, 'pos': u'VERB', 'label': u'AUX', 'content': u'do', 'lemma': u'do'}, {'index': 4, 'begin': 10, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 4, 'begin': 14, 'pos': u'VERB', 'label': u'ROOT', 'content': u'know', 'lemma': u'know'}, {'index': 7, 'begin': 19, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'why', 'lemma': u'why'}, {'index': 7, 'begin': 23, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Eric']}, {'index': 4, 'begin': 24, 'pos': u'VERB', 'label': u'ADVCL', 'content': u""'m"", 'lemma': u'be'}, {'index': 7, 'begin': 27, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'here', 'lemma': u'here'}, {'index': 4, 'begin': 31, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 14, 'begin': 33, 'pos': u'VERB', 'label': u'AUX', 'content': u'Could', 'lemma': u'Could'}, {'index': 14, 'begin': 38, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 14, 'begin': 42, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': ['nan']}, {'index': 14, 'begin': 46, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'just', 'lemma': u'just'}, {'index': 14, 'begin': 51, 'pos': u'VERB', 'label': u'ROOT', 'content': u'make', 'lemma': u'make'}, {'index': 16, 'begin': 56, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'them', 'lemma': u'them', 'char': ['Charles', 'Mrs. Grey']}, {'index': 14, 'begin': 61, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'say', 'lemma': u'say'}, {'index': 16, 'begin': 65, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'yes', 'lemma': u'yes'}, {'index': 14, 'begin': 68, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",4,-0.08,,Charles,"['Eric' 'Mrs. Grey' 'Eric' 'Mr. Grey' 'Mrs. Grey' 'Charles' 'Eric'
 'Charles' 'Eric' 'Charles' 'Eric' nan nan nan nan nan nan nan nan nan nan]"
1,Charles,"Yes, I could, but it's not my way. And I would expect you, of all people, would understand my feelings on misuse of power.","[{'content': u""Yes, I could, but it's not my way."", 'begin': 0, 'score': -0.3, 'magnitude': 0.3}, {'content': u'And I would expect you, of all people, would understand my feelings on misuse of power.', 'begin': 35, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0, 'magnitude': 0.5}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.47869468, 'name': u'way', 'mentions': [u'way']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.15903085, 'name': u'feelings', 'mentions': [u'feelings']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.15903085, 'name': u'misuse', 'mentions': [u'misuse']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.11622279, 'name': u'power', 'mentions': [u'power']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.087020814, 'name': u'people', 'mentions': [u'people']}, {'mentions': [u'I', u'my', u'I', u'my'], 'type': 'PERSON', 'name': 'Charles'}, {'mentions': [u'you'], 'type': 'PERSON', 'name': 'Eric'}]","[{'index': 3, 'begin': 0, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'Yes', 'lemma': u'Yes'}, {'index': 3, 'begin': 3, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 3, 'begin': 5, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Charles']}, {'index': 3, 'begin': 7, 'pos': u'VERB', 'label': u'ROOT', 'content': u'could', 'lemma': u'could'}, {'index': 3, 'begin': 12, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 3, 'begin': 14, 'pos': u'CONJ', 'label': u'CC', 'content': u'but', 'lemma': u'but'}, {'index': 7, 'begin': 18, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'it', 'lemma': u'it'}, {'index': 3, 'begin': 20, 'pos': u'VERB', 'label': u'CONJ', 'content': u""'s"", 'lemma': u'be'}, {'index': 7, 'begin': 23, 'pos': u'ADV', 'label': u'NEG', 'content': u'not', 'lemma': u'not'}, {'index': 10, 'begin': 27, 'pos': u'PRON', 'label': u'POSS', 'content': u'my', 'lemma': u'my', 'char': ['Charles']}, {'index': 7, 'begin': 30, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'way', 'lemma': u'way'}, {'index': 3, 'begin': 33, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 15, 'begin': 35, 'pos': u'CONJ', 'label': u'CC', 'content': u'And', 'lemma': u'And'}, {'index': 15, 'begin': 39, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Charles']}, {'index': 15, 'begin': 41, 'pos': u'VERB', 'label': u'AUX', 'content': u'would', 'lemma': u'would'}, {'index': 15, 'begin': 47, 'pos': u'VERB', 'label': u'ROOT', 'content': u'expect', 'lemma': u'expect'}, {'index': 23, 'begin': 54, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': ['Eric']}, {'index': 23, 'begin': 57, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 23, 'begin': 59, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 20, 'begin': 62, 'pos': u'DET', 'label': u'DET', 'content': u'all', 'lemma': u'all'}, {'index': 18, 'begin': 66, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'people', 'lemma': u'person'}, {'index': 23, 'begin': 72, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 23, 'begin': 74, 'pos': u'VERB', 'label': u'AUX', 'content': u'would', 'lemma': u'would'}, {'index': 15, 'begin': 80, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'understand', 'lemma': u'understand'}, {'index': 25, 'begin': 91, 'pos': u'PRON', 'label': u'POSS', 'content': u'my', 'lemma': u'my', 'char': ['Charles']}, {'index': 23, 'begin': 94, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'feelings', 'lemma': u'feeling'}, {'index': 23, 'begin': 103, 'pos': u'ADP', 'label': u'PREP', 'content': u'on', 'lemma': u'on'}, {'index': 26, 'begin': 106, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'misuse', 'lemma': u'misuse'}, {'index': 27, 'begin': 113, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 28, 'begin': 116, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'power', 'lemma': u'power'}, {'index': 15, 'begin': 121, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",5,0.0,Eric,Eric,"['Charles' 'Eric' 'Mrs. Grey' 'Eric' 'Mr. Grey' 'Mrs. Grey' 'Charles'
 'Eric' 'Charles' 'Eric' 'Charles' 'Eric' nan nan nan nan nan nan nan nan
 nan]"
2,Eric,"Ah, power corrupts and all that. Yes, I know, Charles. - When are you going to stop lecturing me?","[{'content': u'Ah, power corrupts and all that.', 'begin': 0, 'score': -0.4, 'magnitude': 0.4}, {'content': u'Yes, I know, Charles.', 'begin': 33, 'score': 0.3, 'magnitude': 0.3}, {'content': u'- When are you going to stop lecturing me?', 'begin': 55, 'score': -0.3, 'magnitude': 0.3}]","{'score': -0.1, 'magnitude': 1.1}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.915512, 'name': u'power corrupts', 'mentions': [u'power corrupts']}, {'type': u'PERSON', 'meta': {u'mid': u'/m/05d38xs'}, 'salience': 0.084488, 'name': u'Charles', 'mentions': [u'Charles', u'you']}, {'mentions': [u'I', u'me'], 'type': 'PERSON', 'name': 'Eric'}]","[{'index': 3, 'begin': 0, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'Ah', 'lemma': u'Ah'}, {'index': 3, 'begin': 2, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 3, 'begin': 4, 'pos': u'NOUN', 'label': u'NN', 'content': u'power', 'lemma': u'power'}, {'index': 3, 'begin': 10, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'corrupts', 'lemma': u'corrupt'}, {'index': 3, 'begin': 19, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 6, 'begin': 23, 'pos': u'DET', 'label': u'PREDET', 'content': u'all', 'lemma': u'all'}, {'index': 3, 'begin': 27, 'pos': u'DET', 'label': u'CONJ', 'content': u'that', 'lemma': u'that'}, {'index': 3, 'begin': 31, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 11, 'begin': 33, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'Yes', 'lemma': u'Yes'}, {'index': 11, 'begin': 36, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 11, 'begin': 38, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Eric']}, {'index': 11, 'begin': 40, 'pos': u'VERB', 'label': u'ROOT', 'content': u'know', 'lemma': u'know'}, {'index': 11, 'begin': 44, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 11, 'begin': 46, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'Charles', 'lemma': u'Charles'}, {'index': 11, 'begin': 53, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 19, 'begin': 55, 'pos': u'PUNCT', 'label': u'P', 'content': u'-', 'lemma': u'-'}, {'index': 19, 'begin': 57, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'When', 'lemma': u'When'}, {'index': 19, 'begin': 62, 'pos': u'VERB', 'label': u'AUX', 'content': u'are', 'lemma': u'be'}, {'index': 19, 'begin': 66, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': ['Charles']}, {'index': 19, 'begin': 70, 'pos': u'VERB', 'label': u'ROOT', 'content': u'going', 'lemma': u'go'}, {'index': 21, 'begin': 76, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 19, 'begin': 79, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'stop', 'lemma': u'stop'}, {'index': 21, 'begin': 84, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'lecturing', 'lemma': u'lecture'}, {'index': 22, 'begin': 94, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'me', 'lemma': u'me', 'char': ['Eric']}, {'index': 19, 'begin': 96, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",3,-0.11,Charles,Charles,"['Mrs. Grey' 'Charles' 'Eric' 'Mrs. Grey' 'Eric' 'Mr. Grey' 'Mrs. Grey'
 'Charles' 'Eric' 'Charles' 'Eric' 'Charles' 'Eric' nan nan nan nan nan nan
 nan nan]"
3,Charles,When you start listening. You're here because I need you.,"[{'content': u'When you start listening.', 'begin': 0, 'score': 0, 'magnitude': 0}, {'content': u""You're here because I need you."", 'begin': 26, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0, 'magnitude': 0.2}","[{'mentions': [u'you', u'You', u'you'], 'type': 'PERSON', 'name': 'Eric'}, {'mentions': [u'I'], 'type': 'PERSON', 'name': 'Charles'}]","[{'index': 2, 'begin': 0, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'When', 'lemma': u'When'}, {'index': 2, 'begin': 5, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': ['Eric']}, {'index': 2, 'begin': 9, 'pos': u'VERB', 'label': u'ROOT', 'content': u'start', 'lemma': u'start'}, {'index': 2, 'begin': 15, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'listening', 'lemma': u'listen'}, {'index': 2, 'begin': 24, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 6, 'begin': 26, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'You', 'lemma': u'You', 'char': ['Eric']}, {'index': 6, 'begin': 29, 'pos': u'VERB', 'label': u'ROOT', 'content': u""'re"", 'lemma': u'be'}, {'index': 6, 'begin': 33, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'here', 'lemma': u'here'}, {'index': 10, 'begin': 38, 'pos': u'ADP', 'label': u'MARK', 'content': u'because', 'lemma': u'because'}, {'index': 10, 'begin': 46, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Charles']}, {'index': 6, 'begin': 48, 'pos': u'VERB', 'label': u'ADVCL', 'content': u'need', 'lemma': u'need'}, {'index': 10, 'begin': 53, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'you', 'lemma': u'you', 'char': ['Eric']}, {'index': 6, 'begin': 56, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",4,0.0,Eric,Eric,"['Mr. Grey' 'Mrs. Grey' 'Charles' 'Eric' 'Mrs. Grey' 'Eric' 'Mr. Grey'
 'Mrs. Grey' 'Charles' 'Eric' 'Charles' 'Eric' 'Charles' 'Eric' nan nan nan
 nan nan nan nan]"
4,Eric,We don't have to meet every one of them in person?,"[{'content': u""We don't have to meet every one of them in person?"", 'begin': 0, 'score': -0.2, 'magnitude': 0.2}]","{'score': -0.2, 'magnitude': 0.2}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.5353198, 'name': u'one', 'mentions': [u'one']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.46468022, 'name': u'person', 'mentions': [u'person']}, {'mentions': [u'We'], 'type': 'PERSON', 'name': 'Charles'}, {'mentions': [u'We'], 'type': 'PERSON', 'name': 'Eric'}, {'mentions': [u'We'], 'type': 'PERSON', 'name': 'Mr. Grey'}, {'mentions': [u'them'], 'type': 'PERSON', 'name': 'Logan'}, {'mentions': [u'them'], 'type': 'PERSON', 'name': 'Warren'}]","[{'index': 3, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'We', 'lemma': u'We', 'char': ['Eric', 'Charles', 'Mr. Grey']}, {'index': 3, 'begin': 3, 'pos': u'VERB', 'label': u'AUX', 'content': u'do', 'lemma': u'do'}, {'index': 3, 'begin': 5, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 3, 'begin': 9, 'pos': u'VERB', 'label': u'ROOT', 'content': u'have', 'lemma': u'have'}, {'index': 5, 'begin': 14, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 3, 'begin': 17, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'meet', 'lemma': u'meet'}, {'index': 7, 'begin': 22, 'pos': u'DET', 'label': u'DET', 'content': u'every', 'lemma': u'every'}, {'index': 5, 'begin': 28, 'pos': u'NUM', 'label': u'DOBJ', 'content': u'one', 'lemma': u'one'}, {'index': 7, 'begin': 32, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 8, 'begin': 35, 'pos': u'PRON', 'label': u'POBJ', 'content': u'them', 'lemma': u'them', 'char': ['Warren', 'Logan']}, {'index': 5, 'begin': 40, 'pos': u'ADP', 'label': u'PREP', 'content': u'in', 'lemma': u'in'}, {'index': 10, 'begin': 43, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'person', 'lemma': u'person'}, {'index': 3, 'begin': 49, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",2,-0.04,Charles,Charles,"['Charles' 'Mr. Grey' 'Mrs. Grey' 'Charles' 'Eric' 'Mrs. Grey' 'Eric'
 'Mr. Grey' 'Mrs. Grey' 'Charles' 'Eric' 'Charles' 'Eric' 'Charles' 'Eric'
 nan nan nan nan nan nan]"
5,Charles,No. This one's special.,"[{'content': u'No.', 'begin': 0, 'score': -0.4, 'magnitude': 0.4}, {'content': u""This one's special."", 'begin': 4, 'score': 0.6, 'magnitude': 0.6}]","{'score': 0, 'magnitude': 1}","[{'type': 'PERSON', 'meta': {}, 'salience': 1, 'name': u'one', 'mentions': [u'one']}]","[{'index': 0, 'begin': 0, 'pos': u'X', 'label': u'ROOT', 'content': u'No', 'lemma': u'No'}, {'index': 0, 'begin': 2, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 3, 'begin': 4, 'pos': u'DET', 'label': u'DET', 'content': u'This', 'lemma': u'This'}, {'index': 4, 'begin': 9, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'one', 'lemma': u'one'}, {'index': 4, 'begin': 12, 'pos': u'VERB', 'label': u'ROOT', 'content': u""'s"", 'lemma': u'be'}, {'index': 4, 'begin': 15, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'special', 'lemma': u'special'}, {'index': 4, 'begin': 22, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.0,Eric,Mrs. Grey,"['Eric' 'Charles' 'Mr. Grey' 'Mrs. Grey' 'Charles' 'Eric' 'Mrs. Grey'
 'Eric' 'Mr. Grey' 'Mrs. Grey' 'Charles' 'Eric' 'Charles' 'Eric' 'Charles'
 'Eric' nan nan nan nan nan]"
6,Mrs. Grey,"What a beautiful campus. John, don't you think?","[{'content': u'What a beautiful campus.', 'begin': 0, 'score': 0.7, 'magnitude': 0.7}, {'content': u""John, don't you think?"", 'begin': 25, 'score': -0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 1}","[{'type': u'LOCATION', 'meta': {}, 'salience': 0.79773027, 'name': u'campus', 'mentions': [u'campus']}, {'type': u'PERSON', 'meta': {u'mid': u'/m/024gm7'}, 'salience': 0.20226973, 'name': u'John', 'mentions': [u'John']}, {'mentions': [u'you'], 'type': 'PERSON', 'name': 'Mr. Grey'}]","[{'index': 3, 'begin': 0, 'pos': u'DET', 'label': u'DET', 'content': u'What', 'lemma': u'What'}, {'index': 3, 'begin': 5, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 3, 'begin': 7, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'beautiful', 'lemma': u'beautiful'}, {'index': 3, 'begin': 17, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'campus', 'lemma': u'campus'}, {'index': 3, 'begin': 23, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 10, 'begin': 25, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'John', 'lemma': u'John'}, {'index': 10, 'begin': 29, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 10, 'begin': 31, 'pos': u'VERB', 'label': u'AUX', 'content': u'do', 'lemma': u'do'}, {'index': 10, 'begin': 33, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 10, 'begin': 37, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': ['Mr. Grey']}, {'index': 10, 'begin': 41, 'pos': u'VERB', 'label': u'ROOT', 'content': u'think', 'lemma': u'think'}, {'index': 10, 'begin': 46, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",1,0.2,Charles,Mr. Grey,"['Charles' 'Eric' 'Charles' 'Mr. Grey' 'Mrs. Grey' 'Charles' 'Eric'
 'Mrs. Grey' 'Eric' 'Mr. Grey' 'Mrs. Grey' 'Charles' 'Eric' 'Charles'
 'Eric' 'Charles' 'Eric' nan nan nan nan]"
7,Mr. Grey,"Yeah, the brochure is great. But what about Jean? What about her illness?","[{'content': u'Yeah, the brochure is great.', 'begin': 0, 'score': 0.7, 'magnitude': 0.7}, {'content': u'But what about Jean?', 'begin': 29, 'score': 0.2, 'magnitude': 0.2}, {'content': u'What about her illness?', 'begin': 50, 'score': -0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 1.1}","[{'type': 'PERSON', 'meta': {}, 'salience': 0.7721136, 'name': u'brochure', 'mentions': [u'brochure']}, {'type': u'PERSON', 'meta': {u'mid': u'/m/03bb86'}, 'salience': 0.1208357, 'name': u'Jean', 'mentions': [u'Jean']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.107050695, 'name': u'illness', 'mentions': [u'illness']}, {'mentions': [u'her'], 'type': 'PERSON', 'name': 'Logan'}]","[{'index': 4, 'begin': 0, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'Yeah', 'lemma': u'Yeah'}, {'index': 4, 'begin': 4, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 3, 'begin': 6, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 4, 'begin': 10, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'brochure', 'lemma': u'brochure'}, {'index': 4, 'begin': 19, 'pos': u'VERB', 'label': u'ROOT', 'content': u'is', 'lemma': u'be'}, {'index': 4, 'begin': 22, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'great', 'lemma': u'great'}, {'index': 4, 'begin': 27, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 8, 'begin': 29, 'pos': u'CONJ', 'label': u'CC', 'content': u'But', 'lemma': u'But'}, {'index': 8, 'begin': 33, 'pos': u'PRON', 'label': u'ROOT', 'content': u'what', 'lemma': u'what'}, {'index': 8, 'begin': 38, 'pos': u'ADP', 'label': u'PREP', 'content': u'about', 'lemma': u'about'}, {'index': 9, 'begin': 44, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Jean', 'lemma': u'Jean'}, {'index': 8, 'begin': 48, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}, {'index': 12, 'begin': 50, 'pos': u'PRON', 'label': u'ROOT', 'content': u'What', 'lemma': u'What'}, {'index': 12, 'begin': 55, 'pos': u'ADP', 'label': u'PREP', 'content': u'about', 'lemma': u'about'}, {'index': 15, 'begin': 61, 'pos': u'PRON', 'label': u'POSS', 'content': u'her', 'lemma': u'her', 'char': ['Logan']}, {'index': 13, 'begin': 65, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'illness', 'lemma': u'illness'}, {'index': 12, 'begin': 72, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",1,0.22,Mrs. Grey,Eric,"['Young Jean' 'Charles' 'Eric' 'Charles' 'Mr. Grey' 'Mrs. Grey' 'Charles'
 'Eric' 'Mrs. Grey' 'Eric' 'Mr. Grey' 'Mrs. Grey' 'Charles' 'Eric'
 'Charles' 'Eric' 'Charles' 'Eric' nan nan nan]"
8,Eric,Illness?,"[{'content': u'Illness?', 'begin': 0, 'score': -0.1, 'magnitude': 0.1}]","{'score': -0.1, 'magnitude': 0.1}","[{'type': u'OTHER', 'meta': {}, 'salience': 1, 'name': u'Illness', 'mentions': [u'Illness']}]","[{'index': 0, 'begin': 0, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Illness', 'lemma': u'Illness'}, {'index': 0, 'begin': 7, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",0,-0.01,Mr. Grey,Mrs. Grey,"['Eric' 'Young Jean' 'Charles' 'Eric' 'Charles' 'Mr. Grey' 'Mrs. Grey'
 'Charles' 'Eric' 'Mrs. Grey' 'Eric' 'Mr. Grey' 'Mrs. Grey' 'Charles'
 'Eric' 'Charles' 'Eric' 'Charles' 'Eric' nan nan]"
9,Mrs. Grey,John.,"[{'content': u'John.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'type': u'PERSON', 'meta': {u'mid': u'/m/024gm7'}, 'salience': 1, 'name': u'John', 'mentions': [u'John']}]","[{'index': 0, 'begin': 0, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'John', 'lemma': u'John'}, {'index': 0, 'begin': 4, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.01,Eric,Eric,"['Charles' 'Eric' 'Young Jean' 'Charles' 'Eric' 'Charles' 'Mr. Grey'
 'Mrs. Grey' 'Charles' 'Eric' 'Mrs. Grey' 'Eric' 'Mr. Grey' 'Mrs. Grey'
 'Charles' 'Eric' 'Charles' 'Eric' 'Charles' 'Eric' nan]"
